environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,idle_rate,risk_adjusted_score
ApplicationNavigation-deployment-goal-shift,validated_dqn,600,12000,-3.0430000000000006,0.0,120.0,14.489397200006351,12000,719,5.949015000005602,8.54038220000075,,,,,,1.0,0.008611111111111,0.0422222222222222,0.2666666666666666,0.0,1.0,0.0,,,0.0,,339.56861111111107,310.125,0.0,0.0,0.0,12000,-3.0430000000000006,12000,0.4957512500004668,-4.248333333333334,0.0366666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,601,12000,-2.6663333333333346,0.0333333333333333,117.63333333333334,14.581970999999612,12000,719,5.943251700002293,8.63871929999732,,,,,,0.9666666666666668,0.0102777777777777,0.0205555555555555,0.3,0.0,1.0,0.0,,,0.0,,353.19305385487525,315.35,0.0,0.0,0.0,12000,-2.6663333333333346,12000,0.495270975000191,-2.9102333333333337,0.0433333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,602,12000,-3.114333333333334,0.0,120.0,14.54793530000461,12000,719,5.794140499994683,8.753794800009928,,,,,,1.0,0.0047222222222222,0.0608333333333333,0.4777777777777778,0.0,1.0,0.0,,,0.0,,343.4537777777778,307.475,0.0,0.0,0.0,12000,-3.114333333333334,12000,0.4828450416662235,-3.399800000000001,0.03,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,603,12000,-2.761666666666668,0.0333333333333333,116.83333333333331,14.609591599997657,12000,719,5.817987700000231,8.791603899997426,,,,,,0.9666666666666668,0.0063888888888888,0.0433333333333333,0.5666666666666667,0.0,1.0,0.0,,,0.0,,349.95071666666666,310.95,0.0,0.0,0.0,12000,-2.761666666666668,12000,0.4848323083333525,-3.051066666666668,0.0366666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,604,12000,-1.977666666666668,0.1,109.76666666666668,14.112608399998862,12000,719,5.771905699999479,8.340702699999383,,,,,,0.9,0.0052777777777777,0.0144444444444444,0.5,0.0,1.0,0.0,,,0.0,,340.02715213675214,309.825,0.0,0.0,0.0,12000,-1.977666666666668,12000,0.4809921416666232,-5.627733333333332,0.0466666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,605,12000,-2.979666666666667,0.0,120.0,14.12762610000209,12000,719,5.830477899995458,8.297148200006632,,,,,,1.0,0.0124999999999999,0.0244444444444444,0.3333333333333333,0.0,1.0,0.0,,,0.0,,339.97338888888885,308.725,0.0,0.0,0.0,12000,-2.979666666666667,12000,0.4858731583329548,-6.501233333333334,0.0566666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,606,12000,-9.893999999999997,0.0666666666666666,115.0,14.218570800003365,12000,719,5.773634100005438,8.444936699997925,,,,,,0.9333333333333332,0.2372222222222222,0.1438888888888888,0.4333333333333333,0.0,1.0,0.0,,,0.0,,341.96646212121215,314.45,0.0,0.0,0.0,12000,-9.893999999999997,12000,0.4811361750004532,-4.4593,0.1133333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,607,12000,-2.7279999999999998,0.0666666666666666,113.3,14.42395779999788,12000,719,5.955987500019546,8.467970299978333,,,,,,0.9333333333333332,0.0138888888888888,0.0430555555555555,0.3333333333333333,0.0,1.0,0.0,,,0.0,,348.8090555555555,312.975,0.0,0.0,0.0,12000,-2.7279999999999998,12000,0.4963322916682955,-3.200566666666667,0.04,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,608,12000,-4.908333333333331,0.1,112.03333333333332,14.081268200003253,12000,719,5.9566835000005085,8.124584700002742,,,,,,0.9,0.0986182336182336,0.0466737891737891,0.3,0.0,1.0,0.0,,,0.0,,331.4636887464387,305.29999999999995,0.0,0.0,0.0,12000,-4.908333333333331,12000,0.496390291666709,-4.9375333333333336,0.0733333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,validated_dqn,609,12000,-7.956666666666666,0.0,120.0,14.28692699999374,12000,719,5.804994400001306,8.481932599992433,,,,,,1.0,0.1783333333333333,0.0661111111111111,0.3,0.0,1.0,0.0,,,0.0,,336.368,307.9,0.0,0.0,0.0,12000,-7.956666666666666,12000,0.4837495333334421,-3.5145333333333344,0.0433333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
